replicate_name	sample_name	read1	read2
150-2543_S27	150	150-2543_S27_R1_001.fastq.gz	150-2543_S27_R2_001.fastq.gz
150-2607_S27	150	150-2607_S27_R1_001.fastq.gz	150-2607_S27_R2_001.fastq.gz
151-2389_S43	151	151-2389_S43_R1_001.fastq.gz	151-2389_S43_R2_001.fastq.gz
151-2478_S43	151	151-2478_S43_R1_001.fastq.gz	151-2478_S43_R2_001.fastq.gz
151-D07-2537_S43	151	151-D07-2537_S43_R1_001.fastq.gz	151-D07-2537_S43_R2_001.fastq.gz
151-D07_S43	151	151-D07_S43_R1_001.fastq.gz	151-D07_S43_R2_001.fastq.gz
152-2389_S44	152	152-2389_S44_R1_001.fastq.gz	152-2389_S44_R2_001.fastq.gz
152-2478_S44	152	152-2478_S44_R1_001.fastq.gz	152-2478_S44_R2_001.fastq.gz
152-D08-2537_S44	152	152-D08-2537_S44_R1_001.fastq.gz	152-D08-2537_S44_R2_001.fastq.gz
152-D08_S44	152	152-D08_S44_R1_001.fastq.gz	152-D08_S44_R2_001.fastq.gz
153-2068-2_S37	153	153-2068-2_S37_R1_001.fastq.gz	153-2068-2_S37_R2_001.fastq.gz
153-2068-3_S36	153	153-2068-3_S36_R1_001.fastq.gz	153-2068-3_S36_R2_001.fastq.gz
153-2068_S37	153	153-2068_S37_R1_001.fastq.gz	153-2068_S37_R2_001.fastq.gz
153-E05_S52	153	153-E05_S52_R1_001.fastq.gz	153-E05_S52_R2_001.fastq.gz
154-2068-2_S45	154	154-2068-2_S45_R1_001.fastq.gz	154-2068-2_S45_R2_001.fastq.gz
154-2068-3_S44	154	154-2068-3_S44_R1_001.fastq.gz	154-2068-3_S44_R2_001.fastq.gz
154-2068_S45	154	154-2068_S45_R1_001.fastq.gz	154-2068_S45_R2_001.fastq.gz
154-E06_S53	154	154-E06_S53_R1_001.fastq.gz	154-E06_S53_R2_001.fastq.gz
155-2383_S29	155	155-2383_S29_R1_001.fastq.gz	155-2383_S29_R2_001.fastq.gz
155-2536_S29	155	155-2536_S29_R1_001.fastq.gz	155-2536_S29_R2_001.fastq.gz
155-2543_S28	155	155-2543_S28_R1_001.fastq.gz	155-2543_S28_R2_001.fastq.gz
155-2607_S28	155	155-2607_S28_R1_001.fastq.gz	155-2607_S28_R2_001.fastq.gz
156-2068-2_S53	156	156-2068-2_S53_R1_001.fastq.gz	156-2068-2_S53_R2_001.fastq.gz
156-2068-3_S52	156	156-2068-3_S52_R1_001.fastq.gz	156-2068-3_S52_R2_001.fastq.gz
156-2068_S53	156	156-2068_S53_R1_001.fastq.gz	156-2068_S53_R2_001.fastq.gz
156-E07_S54	156	156-E07_S54_R1_001.fastq.gz	156-E07_S54_R2_001.fastq.gz
157-2383_S30	157	157-2383_S30_R1_001.fastq.gz	157-2383_S30_R2_001.fastq.gz
157-2536_S30	157	157-2536_S30_R1_001.fastq.gz	157-2536_S30_R2_001.fastq.gz
157-2543_S29	157	157-2543_S29_R1_001.fastq.gz	157-2543_S29_R2_001.fastq.gz
157-2607_S29	157	157-2607_S29_R1_001.fastq.gz	157-2607_S29_R2_001.fastq.gz
158-2068-2_S61	158	158-2068-2_S61_R1_001.fastq.gz	158-2068-2_S61_R2_001.fastq.gz
158-2068-3_S60	158	158-2068-3_S60_R1_001.fastq.gz	158-2068-3_S60_R2_001.fastq.gz
